op,ogl,aa,filled,time
Glyph,opengl,antialiased,filled,0.002886
Glyph,opengl,antialiased,filled,0.044886
Glyph,opengl,antialiased,filled,0.001461
Glyph,opengl,aliased,filled,0.001991
Glyph,opengl,aliased,filled,0.00303
Glyph,opengl,aliased,filled,0.001514
Glyph,software,antialiased,filled,0.057165
Glyph,software,antialiased,filled,0.052931
Glyph,software,aliased,filled,0.050508
Glyph,software,aliased,filled,0.052276
Glyph,opengl,antialiased,open,0.001587
Glyph,opengl,antialiased,open,0.001461
Glyph,opengl,antialiased,open,0.001429
Glyph,opengl,aliased,open,0.00156
Glyph,opengl,aliased,open,0.001442
Glyph,opengl,aliased,open,0.001443
Glyph,software,antialiased,open,0.05539
Glyph,software,antialiased,open,0.056492
Glyph,software,aliased,open,0.056222
Glyph,software,aliased,open,0.057831
Polygon,opengl,antialiased,filled,1.0666
Polygon,opengl,antialiased,filled,1.01387
Polygon,opengl,antialiased,filled,1.01565
Polygon,opengl,antialiased,filled,1.0141
Polygon,opengl,aliased,filled,1.02934
Polygon,opengl,aliased,filled,1.00869
Polygon,opengl,aliased,filled,1.01257
Polygon,opengl,aliased,filled,1.01626
Polygon,software,antialiased,filled,4.69351
Polygon,software,antialiased,filled,4.6672
Polygon,software,aliased,filled,0.31717
Polygon,software,aliased,filled,0.298834
Polygon,opengl,antialiased,open,0.625586
Polygon,opengl,antialiased,open,0.663665
Polygon,opengl,antialiased,open,0.619284
Polygon,opengl,antialiased,open,0.617275
Polygon,opengl,aliased,open,0.617936
Polygon,opengl,aliased,open,0.647064
Polygon,opengl,aliased,open,0.615578
Polygon,software,antialiased,open,4.13184
Polygon,software,antialiased,open,3.22734
Polygon,software,aliased,open,0.120757
Polygon,software,aliased,open,0.087476
Rectangle,opengl,antialiased,filled,0.002874
Rectangle,opengl,antialiased,filled,0.002906
Rectangle,opengl,antialiased,filled,0.002853
Rectangle,opengl,antialiased,filled,0.002837
Rectangle,opengl,aliased,filled,0.002834
Rectangle,opengl,aliased,filled,0.002683
Rectangle,opengl,aliased,filled,0.002649
Rectangle,software,antialiased,filled,4.54904
Rectangle,software,antialiased,filled,4.72604
Rectangle,software,aliased,filled,0.288026
Rectangle,software,aliased,filled,0.265925
Rectangle,opengl,antialiased,open,0.611947
Rectangle,opengl,antialiased,open,0.630741
Rectangle,opengl,antialiased,open,0.608882
Rectangle,opengl,aliased,open,0.61087
Rectangle,opengl,aliased,open,0.635816
Rectangle,opengl,aliased,open,0.607575
Rectangle,software,antialiased,open,2.52125
Rectangle,software,antialiased,open,2.55198
Rectangle,software,aliased,open,0.114998
Rectangle,software,aliased,open,0.089978
Point,opengl,antialiased,open,0.001288
Point,opengl,antialiased,open,0.001269
Point,opengl,antialiased,open,0.001213
Point,opengl,antialiased,open,0.001211
Point,opengl,aliased,open,0.001257
Point,opengl,aliased,open,0.001188
Point,opengl,aliased,open,0.00121
Point,software,antialiased,open,0.60269
Point,software,antialiased,open,0.57059
Point,software,aliased,open,0.030001
Point,software,aliased,open,0.003525
Line,opengl,antialiased,open,0.482978
Line,opengl,antialiased,open,0.468269
Line,opengl,antialiased,open,0.497437
Line,opengl,antialiased,open,0.465031
Line,opengl,aliased,open,0.197035
Line,opengl,aliased,open,0.227795
Line,opengl,aliased,open,0.194774
Line,software,antialiased,open,4.87992
Line,software,antialiased,open,4.88311
Line,software,antialiased,open,4.93519
Line,software,aliased,open,0.064946
Line,software,aliased,open,0.047748
Segment,opengl,antialiased,open,0.406042
Segment,opengl,antialiased,open,0.083088
Segment,opengl,antialiased,open,0.094348
Segment,opengl,antialiased,open,0.085409
Segment,opengl,aliased,open,0.088628
Segment,opengl,aliased,open,0.259336
Segment,opengl,aliased,open,0.085163
Segment,software,antialiased,open,33.6835
Segment,software,antialiased,open,33.6747
Segment,software,aliased,open,0.062577
Segment,software,aliased,open,0.052221
R5Circle,opengl,antialiased,filled,0.022209
R30Circle,opengl,antialiased,filled,0.022143
R35Circle,opengl,antialiased,filled,0.892003
R5Circle,opengl,antialiased,filled,0.02254
R30Circle,opengl,antialiased,filled,0.034205
R35Circle,opengl,antialiased,filled,0.670734
R5Circle,opengl,antialiased,filled,0.022722
R30Circle,opengl,antialiased,filled,0.022753
R35Circle,opengl,antialiased,filled,0.92765
R5Circle,opengl,antialiased,filled,0.022734
R30Circle,opengl,antialiased,filled,0.022754
R35Circle,opengl,antialiased,filled,0.939506
R5Circle,opengl,aliased,filled,0.02222
R30Circle,opengl,aliased,filled,0.022221
R35Circle,opengl,aliased,filled,0.19537
R5Circle,opengl,aliased,filled,0.022244
R30Circle,opengl,aliased,filled,0.022449
R35Circle,opengl,aliased,filled,0.163426
R5Circle,opengl,aliased,filled,0.022283
R30Circle,opengl,aliased,filled,0.022451
R35Circle,opengl,aliased,filled,0.161723
R5Circle,opengl,aliased,filled,0.022075
R30Circle,opengl,aliased,filled,0.022121
R35Circle,opengl,aliased,filled,0.161275
R5Circle,software,antialiased,filled,3.41361
R30Circle,software,antialiased,filled,12.1501
R35Circle,software,antialiased,filled,12.308
R5Circle,software,antialiased,filled,3.7936
R30Circle,software,antialiased,filled,11.6367
R35Circle,software,antialiased,filled,12.212
R5Circle,software,aliased,filled,0.128412
R30Circle,software,aliased,filled,0.281987
R35Circle,software,aliased,filled,0.321702
R5Circle,software,aliased,filled,0.101803
R30Circle,software,aliased,filled,0.277646
R35Circle,software,aliased,filled,0.316679
R5Circle,opengl,antialiased,open,0.121705
R30Circle,opengl,antialiased,open,0.260496
R35Circle,opengl,antialiased,open,0.240891
R5Circle,opengl,antialiased,open,0.119417
R30Circle,opengl,antialiased,open,0.213162
R35Circle,opengl,antialiased,open,0.240601
R5Circle,opengl,antialiased,open,0.11866
R30Circle,opengl,antialiased,open,0.212761
R35Circle,opengl,antialiased,open,0.239129
R5Circle,opengl,antialiased,open,0.118503
R30Circle,opengl,antialiased,open,0.212568
R35Circle,opengl,antialiased,open,0.239485
R5Circle,opengl,aliased,open,0.061603
R30Circle,opengl,aliased,open,0.17577
R35Circle,opengl,aliased,open,0.202864
R5Circle,opengl,aliased,open,0.093681
R30Circle,opengl,aliased,open,0.17629
R35Circle,opengl,aliased,open,0.203737
R5Circle,opengl,aliased,open,0.06174
R30Circle,opengl,aliased,open,0.177799
R35Circle,opengl,aliased,open,0.207483
R5Circle,software,antialiased,open,2.07374
R30Circle,software,antialiased,open,6.08837
R35Circle,software,antialiased,open,8.80971
R5Circle,software,antialiased,open,2.02842
R30Circle,software,antialiased,open,7.79857
R35Circle,software,antialiased,open,7.47353
R5Circle,software,aliased,open,0.09207
R30Circle,software,aliased,open,0.18488
R35Circle,software,aliased,open,0.214056
R5Circle,software,aliased,open,0.071558
R30Circle,software,aliased,open,0.185029
R35Circle,software,aliased,open,0.213955
